ind,wage,educ,race,sex,hispanic,south,married,exper,union,age,sector,Time
340,15,14,W,M,NH,NS,Single,22,Not,42,sales,0.066666667
341,25,14,W,M,Hisp,NS,Single,4,Union,24,service,0.04
342,13.98,14,W,M,NH,NS,Single,14,Not,34,other,0.071530758
343,5,14,W,M,Hisp,NS,Single,0,Not,20,sales,0.2
344,8,14,W,F,NH,NS,Single,15,Union,35,clerical,0.125
345,10,14,W,M,NH,NS,Married,22,Not,42,prof,0.1
346,13.75,14,W,M,NH,NS,Married,21,Not,41,sales,0.072727273
347,14.67,14,NW,M,NH,NS,Married,16,Not,36,service,0.068166326
348,5,14,W,M,NH,NS,Married,0,Not,20,prof,0.2
349,10.53,14,W,F,NH,NS,Married,12,Not,32,clerical,0.094966762
350,10,14,NW,M,NH,NS,Single,22,Not,42,manag,0.1
351,14.29,14,W,F,NH,NS,Married,32,Not,52,sales,0.069979006
352,5.62,14,W,F,NH,NS,Married,32,Not,52,clerical,0.177935943
353,10.58,14,W,M,NH,NS,Married,25,Not,45,manuf,0.094517958
354,7.38,14,W,F,Hisp,NS,Single,15,Not,35,prof,0.135501355
355,22,14,W,M,NH,S,Married,15,Not,35,prof,0.045454545
356,12.2,14,W,M,NH,S,Married,10,Not,30,manuf,0.081967213
357,19.98,14,W,M,NH,S,Married,44,Not,64,sales,0.05005005
358,9.63,14,W,M,NH,NS,Married,22,Union,42,service,0.10384216
359,12,14,W,F,NH,NS,Married,10,Not,30,prof,0.083333333
360,8.56,14,W,F,NH,NS,Married,14,Not,34,prof,0.11682243
361,16.14,14,W,M,NH,NS,Single,16,Not,36,manag,0.061957869
362,3.35,14,NW,M,NH,NS,Single,0,Not,20,service,0.298507463
363,4.17,14,W,F,NH,NS,Single,24,Not,44,service,0.239808153
364,7.5,14,W,M,NH,NS,Single,2,Not,22,sales,0.133333333
365,16.42,14,W,M,NH,NS,Single,19,Not,39,prof,0.06090134
366,6.25,14,W,M,NH,NS,Single,2,Not,22,manag,0.16
367,9.22,14,W,F,NH,NS,Married,13,Not,33,manag,0.10845987
368,5,14,W,F,Hisp,NS,Married,17,Not,37,clerical,0.2
369,44.5,14,W,F,NH,NS,Single,1,Not,21,manag,0.02247191
370,11.02,14,W,M,NH,S,Married,12,Union,32,clerical,0.090744102
371,6.88,14,W,F,NH,S,Single,10,Not,30,service,0.145348837
372,5.56,14,W,M,NH,S,Single,5,Not,25,sales,0.179856115
373,16.65,14,W,M,NH,S,Married,21,Not,41,manag,0.06006006
374,5.65,14,W,M,NH,NS,Single,2,Not,22,manuf,0.17699115
375,8.8,14,W,M,NH,S,Married,41,Not,61,manag,0.113636364
376,10.43,14,W,F,NH,S,Married,15,Not,35,clerical,0.095877277
377,8.9,14,W,M,NH,NS,Single,13,Not,33,other,0.112359551
378,11,14,W,M,NH,S,Married,14,Union,34,manuf,0.090909091
379,3.5,14,W,F,NH,S,Married,6,Not,26,sales,0.285714286
380,3.98,14,W,F,NH,NS,Single,6,Not,26,service,0.251256281
381,8.2,14,NW,M,NH,S,Single,17,Not,37,other,0.12195122
382,10,14,W,F,NH,NS,Single,24,Not,44,clerical,0.1
383,7.53,14,W,M,NH,S,Single,1,Not,21,clerical,0.132802125
384,8.63,14,W,F,NH,NS,Single,4,Not,24,prof,0.115874855
385,6.85,14,NW,M,NH,NS,Married,34,Union,54,service,0.145985401
